2024/5/1,Wed,16.3,8.2
2024/5/2,Thu,19.8,7.2
2024/5/3,Fri,22.9,10.4
2024/5/4,Sat,26.7,8.3
2024/5/5,Sun,26.7,10.7
2024/5/6,Mon,21.3,13.6
2024/5/7,Tue,18.9,13.4
2024/5/8,Wed,15.1,7.6
2024/5/9,Thu,13.7,5.4
2024/5/10,Fri,23,1.8
2024/5/11,Sat,25.2,7.9
2024/5/12,Sun,21.3,12
2024/5/13,Mon,15.2,8.4
2024/5/14,Tue,23.5,7.1
2024/5/15,Wed,23.8,12.9
2024/5/16,Thu,24,10.3
2024/5/17,Fri,22.8,10.1
2024/5/18,Sat,26.9,8.5
2024/5/19,Sun,20.6,13.2
2024/5/20,Mon,23.1,13
2024/5/21,Tue,20.8,13.1
2024/5/22,Wed,23.4,11.9
2024/5/23,Thu,23.9,12.8
2024/5/24,Fri,26.7,12.4
2024/5/25,Sat,21.1,12.3
2024/5/26,Sun,21.1,12.5
2024/5/27,Mon,19.2,13.6
2024/5/28,Tue,21.1,13.2
2024/5/29,Wed,20.9,12.2
2024/5/30,Thu,25.3,11.4
2024/5/31,Fri,18.8,13.5
